product,sale_price,Expected Price
"Glass Bottle With Plastic Outer - Sky Blue, BB1310",219.0,228.90493650217016
"Water Bottle - Maxis, Orange",275.0,287.43770565341003
Maxx Pet Plastic Premium Container - Yellow,189.0,197.54809588543452
"Pet Plastic Water Bottle - Blue, Aster, L3022X6 BL",316.0,330.29205449628205
"Puro Stainless Steel Bottle With Steel Cap - Dark Red Colour, PXP 1008 CV",229.0,239.3572167077487
Multipurpose Bottom Guard Sticker/ Chair Protectors - BH108,89.0,93.02529382964906
Solar Pet water Bottle - Green,249.0,260.2617771189058
Cloth Clips,150.0,156.7842030836782
All Time Plastic Polka Masala Container Transparent - Red,159.0,166.19125526869888
"Storewell Airtight Plastic Container - Transparent, With Purple Lid",219.0,228.90493650217016
"Glass Bottle With Removable Fabric Cover - Beige, BB1308",259.0,270.7140573244843
"Aqua Stainless Steel Bottle With Steel Cap - Metallic Green Finish, PXP 1003 CK",229.0,239.3572167077487
"Penta Plastic Pet Water Bottle - Violet, Wide Mouth",25.0,26.130700513946366
Combi Meal Plastic Lunch/Tiffin Box With Containers & Cover - Red,329.0,343.88001876353417
Plastic Polka Masala Container Transparent - Blue,149.0,155.73897506312034
Spill Guard No.4 Kids Lunch Box - Pink,119.0,124.3821344463847
Airtight Lock-N-Pack Plastic Container - Transparent,119.0,124.3821344463847
Icon Jug - Pink,345.0,360.60366709245983
Kitchen Queen Papad Box - Pink,149.0,155.73897506312034
Borosilicate Glass Square Food Container With Dark Blue Lid,229.0,239.3572167077487
"Tiffin Set - With 2 Containers, Thermosteel, Insulated, Yellow, Vector Deluxe",379.0,396.14141979142687
Premium Kulfi Maker With Candy Cone - Pink,79.0,82.57301362407051
Disney Belle Princess Double Wall Insulated Kids Sipper Bottle,269.0,281.1663375300629
Glass Water Bottle With White Cap - BB1245WHT,279.0,291.6186177356414
Store In Food Keeper/ Plastic Container,69.0,72.12073341849197
Double Walled Glass Bottle With Pink Cap - BB1241,279.0,291.6186177356414
"Plastic Bottle - Narrow Neck, Brown, Apollo, 20381BR",99.0,103.4775740352276
All Time Plastic Polka Masala Container - Transparent,349.0,364.78457917469126
Jars - Cube,179.0,187.09581567985597
"Glass Bottle With Plastic Outer - Sky Blue, BB1314",179.0,187.09581567985597
"Utility Glass Jar - Spice, Pickle",149.0,155.73897506312034
Sunshine Insulated Water Bottle - Yellow,179.0,187.09581567985597
Pet Jar - Crystal Square,93.0,97.20620591188047
Universal Hooks - Square In Color White,199.0,208.00037609101307
Marvel Avengers Kids Plastic Lunch Box With Detachable Steel Tray,399.0,417.04598020258396
"Plastic Snacker Round Container - Big, Brown",69.0,72.12073341849197
Premium Iron Organizer With Iron Table Holder - White,349.0,364.78457917469126
"Aqua Stainless Steel Bottle With Steel Cap - Purple, PXP 1003 DV",249.0,260.2617771189058
Non-Adhesive Plastic Multi-Purpose Hook Set for Walls,189.0,197.54809588543452
"Water Bottle - Stainless Steel, Blue, BB 511 1",259.0,270.7140573244843
"Glass Bottle With Plastic Outer - Green, BB1314",179.0,187.09581567985597
"Water Bottle - Assorted Colour, Flip Top, Tesero Mars",229.0,239.3572167077487
Magic Seal Round Storage Plastic Container - Royal Red,99.0,103.4775740352276
Mini Plastic Lunch Box,139.0,145.2866948575418
Marvel Spiderman Sipper Plastic Kids Water Bottle With Neck Strap,249.0,260.2617771189058
"Diamond Lock Round Plastic Container - Square, Printed, Assorted Colour",149.0,155.73897506312034
"Cutlery Holder/Stand - Dark Brown, Fantasy, 24270-DB",59.0,61.66845321291342
Mini Plastic Lunch Box,139.0,145.2866948575418
"Lunch Box Set - junior Kit-Kat, Red",59.0,61.66845321291342
"Leo Plastic Pet Water Bottle - Violet, Wide Mouth",149.0,155.73897506312034
"Multipurpose Cutlery Holder - Square, Off Ivory, Florina",75.0,78.3921015418391
Maxx Pet Container - Pink,189.0,197.54809588543452
"Stainless Steel Lunch Box/Tiffin Set - Blue, BB 577 1",829.0,866.4940290424614
Ivory Glass Bottle - Multicolour Squares,190.0,198.59332390599238
Borosilicate Glass Rectangular Lunch Box/Tiffin Box - Sea Green,479.0,500.66422184721233
"Water Jug with Glass - Stainless Steel, Green, Lemon Set",1030.0,1076.5848611745903
"Glass Water Bottle With Silicon Covering - Cream, BB1306",229.0,239.3572167077487
"Glass Jug/Carafe/Bottle/Pitcher With Red Lid - Bistro, Concept 2",449.0,469.3073812304767
Rectangular Plastic Container Set - Green,299.0,312.5231781467985
Marvel Avengers 304 Stainless Steel Lunch Box/Tiffin Box - HMWWLB 73362-AV,599.0,626.0915843141549
"Plastic Lunch Box/Tiffin Box - Disney Mickey Mouse, BPA Free, HMHILB 199-MK",179.0,187.09581567985597
Joy Round Kids Glass,99.0,103.4775740352276
Clear Small Wire Hook,179.0,187.09581567985597
Glass Jug/Carafe/Bottle/Kosem,339.0,354.3322989691127
Disney Minnie Mouse Plastic Kids Sipper Bottle,289.0,302.07089794122
"Plastic Container - Printed, Crystal, 14731P",180.0,188.14104370041383
"Water Bottle - Stainless Steel, Pink BB 511 3",470.0,491.25716966219164
